text,sentiment
lokasi rotiboy pasar seni,positive
kepada hijab terbuka bukan free hair yang suka travel oversea apa rupa hantu hantu luar malaysia ek nak tahu ada jugak ka geng gula gula cik lang cik pon semua tu,negative
guys actually bahasa malaysia kadang efisien jugak ye,neutral
prasarana malaysia berhad smart selangor mpaj rapid higer klqg,positive
nikmat terbesar dalam hidup aku lahir islam lahir dkt malaysia,positive
apa yang bumi malaysia perlukan saat ini,positive
just saw a thread that said najib dulu lagi sweet gadaikan malaysia utk kak mah i kenot with threads people hahahahaha,negative
korang yang genz lepas graduate teringin nak kerja under company mana jika ada tawaran,negative
so far elaun internship paling masyuk kt malaysia ni is bnm kot ke ada lagi eh kot korang boleh share,positive
wahai staf watson seluruh malaysia boleh tak kalau tak menekan suruh amik beg hitam lembik ni atleast ade barang dalam tangan barula boleh bg beg ni ini belum tentu nak beli brg klu tgn masih kosong bila dah bg xpasal pulak nk kena gi cari tempat letak beg ni pulak bila xde brg yg dicari bila tak nak beg ni buat muka pulak tu rase cam semak pulak tgn kosong tibe kena jinjing beg ni huh,negative
malaysian armed forces canine snuggles its handler during the national day parade in putrajaya malaysia,negative
internally all muslim in malaysia,negative
ehh sumpahhlaa bts cancel datang malaysia aku baru keluar dari gua ke apaa nii lol,negative
born grow up in sabah and here i am now in malaysia enjoying,positive
nak beza cina malaysia dengan cina mainland senang jer tengok time dia marah kalau dia mencarut bahasa meaning dia cina kita kalau dia sekadar cingcong cingcong xexe meaning cina sana,negative
habislah satu dunia global dah discover malaysia nanti confirm tourism sector and f b business meletus,positive
went to jeju island once there was one uncle shouting cheerfully at me woi malaysia kau melayu mana aku cina cheras,negative
aku kena jujur dengan kau malam ni,positive
tahukah anda masa di semenanjung malaysia adalah salah,neutral
kepada shopping mall yang toiletnya takde bidet,negative
kiri bulan lalu kanan hari ini,negative
tadi ternampak aiman hakim reza ngan wife dia zahirah n anak dorg makan kat citta mall aku terjeling si aiman sbb dia pandang aku randomly aku jeling sbb rasa cm kenal tpi tknk nmpak obvious tpi terjeling bitchyly,negative
dalam semua tagline ni aku suka tagline malaysia despite najib being najib himself aku takleh tipu diri aku dari mengatakan its a catchy phrase untuk satukan rakyat malaysia,negative
my only flex as a foreigner in malaysia i know negaraku inside out it was engraved into me during morning assembly,positive
meme malaysia always keep my stress disappear everytime i ll have bad day,positive
tak sangka jadi jugak kat malaysia,negative
guys cina singapore memang pandang rendah dekat orang melayu malaysia and melayu singapore ke,negative
malaysia punya passport punya lah kuat while aku nak lalu bulgaria kene tahan kt border dia ckp tak pernah nampak passport mcm ni masuk bulgaria acik dia,negative
kecoh pukul pagi tapi rakyat malaysia tetap tenang handle situasi,neutral
thank you pmx kerana telah menggunakan platform ic untuk pemberian subsidi petrol diesel ia bukan sahaja dapat menurunkan kos subsidi tapi menyedarkan diri manusia yang ic merah serta golongan yang tinggal di sempadan sg thailand,positive
kenapa ada segelintir orang cina dan india tak mau berbahasa malaysia di malaysia apa sebab curious je,negative
isu yang membuatkan malaysia berbalah apa pendapat kalian,negative
boring betul gaduh dgn south korea nie malaysia indonesia gaduh pun tak seboring nie,negative
pernah tak korang tengah lepak mamak tiba tiba member sebelah petik isu ni weyh malaysia ni kan negara pengeluar minyak bersepah pelantar minyak kat terengganu sarawak tu tapi kenapa kita still kena import minyak luar kenapa harga minyak kita naik juga ikut harga dunia pakai jelah minyak sendiri settle,negative
apa benda negara jiran kita ni,negative
bersepah ya muka deni dalam drama d malaysia,positive
bila baca posting tya menantu tok ti tanye kenapa live dia sendu sales pun drop,negative
for chinese in malaysia how do you view your future in malaysia in term of politic and economy not racial state the industry you are working in and your observation,positive
kenapa korean punya roast dekat malaysia macam boring gila ke sebab diorang tak cukup experience jadi cyberbully haha,negative
menteri yang dulu bawak masuk rohingya kat malaysia ni memang sial sebab apa,negative
lunch at parlimen malaysia guess the price of my lunch,neutral
hentikan pembiakan warga konoha di malaysia,positive
nasihat saya kepada adik di luar sana kalau boleh jgn ambik sektor teknikal di malaysia sangat sangat under appreciated,neutral
if ww happens malaysia lah yang akan paling terjejas because men here also need their princess treatment and perlukan provider nyah,negative
malam tadi saya telah diugut seorang anggota polis bernama wan syah untuk menumbuk muka saya hanya kerana saya menjalankan tugas sebagai peguam kepada perhimpunan aman gerakan anti rumah anutan haram saya masih tidak faham kenapa perlunya ada intimidasi berbentuk ugutan sebegitu dalam era kerajaan malaysia madani laporan polis dah dibuat terhadap wan syah dan kita tunggu apa tindakan susulannya,negative
malaysia trully asia nanti diganyang meronta playing victim,negative
brand rempit malaysia svg oakley stoned co hype high cultured drum new era,positive
i just nak tanya kaum india especially yang bijak pandai dan kaya,neutral
dlm toilet mrt mrt pasar seni hellnahh,positive
to pizza hut kepala batas penang saya tak pasti ni arahan dari manager pizza hut or staff tu yang rela sendiri bila di tanya dgn staff tu why jual pizza tepi jalan x ada payung panas terik dia senyum je diam je merah padam muka adik tu,negative
siap kata demi allah siap perang dgn malaysia tu,negative
para artist malaysia sekalian drop ur art here jom,negative
indian malaysia ni,negative
kau ambil degree sebab orang cakap ada demand,neutral
inilah malaysia madani,positive
orang malaysia memang jenis susah nak percaya orang aku perati je,neutral
why does the salary in malaysia are damn low,negative
kenapa org malaysia majority tak suka sultan johor aku rasa kecewa skit sbb tu je la sultan negeri aku daulat tuanku,negative
let me give you the world s largest flower malaysia cameron highlands,positive
platform cari kerja paling popular di malaysia,positive
wahai stesen radio malaysia boleh tak kalian hentikan main lagu kami para pendengar sangat kecewa sebab kami sebenarnya tak menanti lagu lagu yang kalian putar kami hanya mahu dengar celoteh penyampai gelak tawa yang tak berakar umbi dan bual bual kosong yang entah dari mana datangnya,negative
malaysian hospitality ialah cara kita membuat orang rasa diterima,positive
malaysia bila ada kes be like,neutral
congratulations to the minister of tourism malaysia and mb sanusi for the huge crowd we must unite to attract more tourists to our country malaysia is heading towards greater success,positive
rain rave bukit bintang bukan budaya malaysia saya gunakan platform yang saya ada untuk menempelak tourism malaysia atas penganjuran event ini,negative
malam ni pesta air katanya bertujuan merangsang ekonomi bandar dan menyokong peniaga kecil sempena tahun melawat malaysia,positive
malaysian girlies leave your best financial advice to girls women in malaysia so that we can all learn something together ill go first,negative
nampak lah abang terlalu happy ye,neutral
ramai rakyat malaysia terutamanya orang muda berminat nak kerja freelance,positive
sepatah dua kata untuk event rain rave festival dekat malaysia,negative
malaysia copied a model that doesnt even work in its own country,negative
tahu kenapa ramai warga us sibuk datang malaysia buat review makanan dan cari support dari orang malaysia,negative
sy buat service untuk hantar org balik kg beraya,negative
jangan tersilap lagi pru nanti nak sokong yang mana,neutral
malaysia to malaysia kini di tangga ke dunia,positive
what a beautiful day in kuala lumpur i am so thankful that i found this city and it has become my home,positive
stop normalize kan lgbtq di malaysia,negative
kami berdua seringkali digandingkan dalam mana drama telefilem suatu masa dulu beliau antara salah seorang rakan seni kak ros yang paling senang nak bekerjasama dalam menjayakan sesuatu naskhah salam takziah kak ros ucapkan buat seluruh ahli keluarga allahyarham abdul jalil bin abdul hamid,positive
malaysia bila nak ada gojek cheaper and faster alternative compare to car,neutral
sosial tiba tiba nama umie aida kena petik,positive
this is where we make marine biologists in malaysia,positive
sudah tiba masanya dap ini diharamkan di malaysia kuang ajar dan berani nak langgar titah sultan selangor,negative
mandarin is not an international language aku kerja dekat johor bahru malaysia tapi rasa macam kerja dekat china diaorang ni jenis taknak keluar phone guna google translate bila kita minta cakap english dia cakap no no english sambil marah marah kita pulak nak kena belajar bahasa diaorang,negative
first time traveling abroad alone different country different feelings same dream thank you malaysia for being my first and such a great country,positive
negeri introvert kat malaysia ni ada dua je perlis dan perak hahahaha,negative
malaysias had quite an eventful month malaysian ringgit strengthens being gay is caused by work stress spiderman injures himself after falling off bukit dinding,negative
ada sape nak tahu takk the dark side of a famous clothing brand in malaysia,positive
kau nak tengok indonesia punya perangai keji kau tengok dekat tiktok punya la gampang eh diorang ini masuk malaysia menipu imigresen kata pergi bercuti rupanya kerja dekat sini tahun kadang lebih tahun duduk sini malaysia ini pulak bila musim pemutihan suruh diorang bayar denda je itu pun berapa sen je la itu belum dia cerita kami orang indonesia rapat dengan pegawai bayar seratus je mesti lepas punya betul diorang pandang hina je la malaysia ini ini nanti adalah konoha bodoh kata rasis,negative
allahumma inni asaluka kerajaan malaysia perketatkan syarat jadi warganegara malaysia pr malaysia amin amin mana mana yang merentan tu gi jauh cari negara lain,negative
baru faham kenapa orang malaysia ni ramai jadi kpopers berbanding minat artis local,negative
hello aku india india malaysia lah bukan india dari india tanya lah question apa ii berkaitan indian malaysian aku jawab asalkan jgn type dlm bahasa tamil aku mmg x tau sbb aku sk sekolah kebangsaan,negative
warga asing nie sebenarnya banyak telan hak warga negara malaysia,negative
privilege level in malaysia,positive
ohh rupanya alumni finalist miss world malaysia macam mna dia confident join eh dahlah bf dia pijak al quran keji nya perbuatan pasangan ni we not claim u as sarawakian even u from sarawak,negative
ishowspeed coming to malaysia dia sendiri cakap dalam stream,negative
if malaysia gets attacked which state would be first,negative
pendedahan file epstein tu tak mengejutkan kerana ada banyak kegiatan serupa itu yg berlaku di seluruh dunia terutama dalam lodge satanic saya tertanya juga apa aktiviti yg berlaku dalam lodge freemason di malaysia macam yg kat bukit jalil ni takkan meeting makan bihun je kot,negative
guys i will try my luck today for the concert ticket i just need ticket,neutral
hailey bieber is every girls ultimate girl crush love how secure she is,positive
happynya baca indo taknak datang malaysia that what we want we sick having so much indonesian in malaysia already,positive
info rasmi sncc seramai rakyat malaysia yg telah diculik oleh iof lokasi mereka sehingga sekarang masih belum diketahui kita doakan sama sama utk keselamatan mereka,negative
malaysia nampak biasa tapi sebenarnya negara ni rare gila,negative
kepada kerajaan malaysia,positive
itulah bila ydpa suruh kuasai bahasa malaysia korang jugak sinis anti dan perli,negative
went to your solaris branch your employee asked for my personal number i was asked where do i live he wanted to meet me outside,negative
semakin menggila rakyat malaysia kasihan mangsa mangsa yg terlibat,negative
semua benda nak mandarin speaker aku duduk malaysia ke duduk china sekarang ni,negative
nampak macam ramai drs from oversea returning to malaysia especially those from uk ireland is there a reason behind this,negative
halu pulis ini olang banyak lansi polis diraja malaysia royal malaysia police,negative
korang nak tak aku spill the tea artis mana awas yer artis malaysia you are nothing compare to taytay,negative
korang tau tak korang boleh dapat certificate free disponsor oleh kerajaan malaysia,negative
patutnya hijabis kat malaysia kena buh nama tutorial tudung letak nama malaysian style biar tak kena claim dengan konoha sibuk je pakai tudung style malaysian,negative
guys boleh recommend tak courses yang high demand kat malaysia sebab ragu ii lagi nak isi upu nii,neutral
beli kebab dekat kepulauan riau kepri walaupun di indonesia tapi dekat daerah tanjung pinang ni loghat diorang sama macam kita di malaysia,neutral
kenapa petugas pembersihan masjidl haram ni macam baik dengan orang malaysia,negative
korang issue gajah kita di bawa ke jepun bukan main tau tennoji zoo sangat terkenal dengan pengabaian haiwan di zoo mereka aku pelik kerajaan kita agree untuk hantar,negative
kawan i ada cakap orang korea ni racist bila dia jumpa orang tak cantik kulit gelap sebelum i pergi korea haritu dia remind i cakap kat sana nnti mmg akan jumpa yg racist tp i rasa you kulit putih mesti nnti kat imi lepas je,negative
news update nres beri kebenaran bawak dak balik malaysia skg terpulang pada zoo taiping night safari utk bg kerjasama,negative
negeri apa di malaysia yang paling kelakar,positive
aku dpt kerja under mystep dkt jabatan ukur dan pemetaan malaysia dgn gaji rm boleh hidup ke aku yg dah beristeri dgn gaji itu patut terima atau tak,negative
gaduh malaysia indonesia ni macam gaduh adik beradik je,negative
where are you from malaysia ohh so you speak malay yea then why you speaking english so well hmm because i learn that too so you speak malay and english no mandarin and cantonese too excuse me how because i am chinese you are chinese oh wellguess what happen next,negative
adik adik yang baru nak kerja or masuk kerja meh abang ridz nak share sikit please accept the offer whatever sector lah as per below,neutral
nampak set crew malaysia airlines jalan nak lalu immigration aku pun senyum la nak bagi salam belum sempat nak buka mulut kapten dia cakap kat cabin crew sambil tunjuk kat aku happy semacam mamat pinoi ni nak pergi kerja,negative
sebenarnya nak start active balik in bidang lakonan and also tak ada manager for acting industry contact pun banyak hilang so i just want to try my luck by post it here harap dipermudahkan,negative
im just curious those yang attended international or private school in malaysia where do they usually ended up eh,neutral
malaysia kekal berprinsip,positive
menggunakan visa spouse tu kawen lelaki bujang ke duda aku harap bukan suami orglah aku sensitif sungguh bab ppuan foreigner kawen suami org malaysia ni,negative
sebab ramai tnya nama mnc kat malaysia meh aku share a few yang aku tau and some of the benefits start dengan huruf a,neutral
tempat kat malaysia ni offer benda percuma tapi ramai tak tahu perpustakaan negara kl ada bilik tidur netflix lounge tempat kerja belajar wifi laju semua percuma klinik kesihatan kkm ujian darah kolesterol tekanan darah kaunseling kesihatan under rm atau percuma ktm komuter student pass bawah tahun boleh mohon student rail pass potongan hingga,neutral
hope one day sgd myr,positive
padu laa sapa yang buat apps ni,negative
kalau ni ade kat malaysia memang musibat tanah sape yg amalkn umur dah mengandung pale bana diaa,negative
kepada orang kaya malaysia anda pernah didatangi geng ni tak maybe dgn alasan utk capai sesuatu nak tau gak,negative
korang kalau kecam aku bukan main kan celaka no aku nak korang kecam zoo jepun ni depaa seksa gajah kitaa,negative
we couldnt find a place to stay for a night in terengganu because most of the hotels were fully booked and homestay owners preferred muslims however this homestay owner accepted us for a night umi and her husband even invited us over for breakfast before we head back home it was a simple gesture but it meant so much,positive
