x1lliihq 4,x1lliihq 11,x1lliihq 12,x1lliihq 13
Kau jangan nak samakan India 🇮🇳 luar dengan India Malaysian 🇲🇾 ya.,India Malaysia bumbung pun dorang sental. Lantai garaj kau sebulan berapa kali basuh sampai nampak muka? Dorang beli stok sabun macam nk basuhkan rumah jiran2 sekali. Kau masuk dapur dorang kau pun malu la. Bersih sangat. 😂,,"Telah dididik dari kecil dalam ajaran Hindu, bersih membawa berkat(Kawan aku cakap ler.)"
"Batik Indonesia
Terpelihara dalam kerangka tradisi.","Batik Malaysia
Bergerak bebas, segar, dan terus berkembang.",,
4 universiti swasta paling berkualiti di Malaysia,"1. OUM
2. UTP
3. SUNWAY COLLEGE 
4. MSU",,Hasil kajian yg teliti drp Dr Danial Haikal Bin Mohd Alwi
Malaysia is the main character during this crisis because of bro 😭,,,
Malaysia beberapa hari ini…,,,
Keluarga kundur bersatu. Saya akan agihkan sebagai sedekah supaya lebih ramai rakyat Malaysia tahu betapa sedapnya air kundur !,,kundur,
"Sayang nak buang kotak kasut. So kitorg beli kotak & tape dekat airport so semua kasut kite sumbat je dalam box 🤗
Agak agak kami kena tax tak dengan kastam Malaysia? 🤭",,,
Bot nelayan luar tidak memberi kerjasama kepada pasukan maritim malaysia,,,
He requested carlsberg😍,"Thank you, Malaysia Airlines, for the complementary meals😘",,
"Wahhhh, lain macam bunga api.
Macam mana diorang buat ni weyh?",,Malaysia Threads,
Aku sampai sekarang tertanya-tanya budak nakal mna yang start prank sejadah berdiri ni. Kecoh 1 Malaysia sebab kes ni. Empunya badan tak nak mengaku lagi ke nak simpan rahsia sampai ke akhir hayat 🤣🤣,,seramthreads,
"Lari pada polis mujur hidup start motor
Kalu dok hidup boleh sakit la mung dik 😂
Larian 400 meter desup….",#lawak #malaysia #lari #polis,,
"Konon nak buat dalam flight otw balik malaysia. Bosan xtaw nak buat ape pnye psl. Ingatkan boleh berjaya, memang ssh. nak diam sekejap pn x boleh hahaha.",,,
"Tak faham kenapa masyarakat kita mengharamkan forex, sedangkan dari dulu sebelum kita ke luar negara, kita akan guna forex. Kalau betul haram tutuplah semua money changer di Malaysia ni, sebab situlah tempat forex (foreign exchange). Hakikatnya, yang menjadi isu bukan forex, tapi trading forex.",,,
BILA agaknya orang Malaysia mahu berubah?,,,
Malaysian to Malaysian. 🇲🇾,"Jangan backup warga asing kalau kerajaan nak tarik subsidi kesihatan.. warganegara tetap dpt, yg tak dapat tu mereka..",Threads Malaysia,Kita jaga kita.
"Rupa2nya konoha gelakkan orang malaysia panggil aeroplane tu KAPAL TERBANG... diorang cakap ""Gimana kapal bisa terbang""
Diorang anggap sebutan Malaysia kelakar, diorang je elok sebut PESAWAT",,,
Siapa artis Malaysia paling sombong yang korang pernah jumpa? I start ifa raziah,,,
Puak israhell ni nk masuk Malaysia dgn guna passport kedua.. senangnya.,Cc:OMG Hackers,,
"Kenapa kelab malam boleh jadi nama TREC (Tun Razak Education Centre)? Hina betul nama tokoh agung Malaysia kena slap jadi nama kelab malam. Also, what are they teaching about? Tunjuk langit? 🤔",,Trec,
"Jujur tanya ni pada orang Sabah dan Sarawak ni.Khususnya bumiputera.
Teruk sangat ker Malaya pada Sabah dan Sarawak ni yer ?
Sampi nak putuskan hubungan ni.
Klu ikutkan Perlis tu negeri termiskin lagi. Tapi diorg tak pernah lagi dengar cakap nak keluar dari Malaysia nak balik ke siam tu.
Yang jadi batu api tu patut korang waspada.",,,
Gimana caranya pindah ke Malay? Please lah dah muak sekali di indo 😭😭,,Malaysia Threads,
Hi,,,
Korang nampak kan...kenapa last sumud flotila tu diorang bawa artis dan influencer.. sebab bila artis dan influencer yang kena maka akan bergemalah satu Malaysia.. sekarang ni kapal2 dah intercept pun orang buat tak kisah pasal sumud..,,,
Aku pernah ditegur oleh driver Grab masa nak ke Soekarno–Hatta International Airport.,"Dia tanya aku berkali-kali: 
“Flight AirAsia atau Malaysia Airlines?”",,"Mula aku pelik… kenapa dia ulang soalan tu? 
Rupanya sebab"
Betul ke ramai dah berpindah ke sini sekarang?,Rasa² orang² malaysia pun akan guna upscrolled jgak ker? 🤔,,
Manisnya Malaysia. Jumaat lepas aku ternampak ni. jalan ni menghala ke masjid. Seorang lelaki India bawa motor hantar lelaki Melayu ke masjid nak solat Jumaat.,"Pergilah mana pun, tetaplah Malaysia yg terbaik!",,
"Some says “invading privacy” ? 
Hello… SINCE WHEN MALAYSIA ACCEPTING LGBT ?!!🏳️‍🌈..Respect this country! this is MALAYSIA ! We hve rules !Our main religion is islam. tak kisah lah kau dari mana... Immoral activities mmg la kene tngkap !! nak buat sila get out from malaysia .. use ur brain bfre u talk ..",,,
"To all non Muslims in Malaysia, please stop talking without knowing the facts. Listen properly:","- The government DOES NOT PAY for Muslims to go Hajj
- The government DOES NOT FUND  iftar at mosques
- The government DOES NOT GIVE waqaf land to build mosques
- The government DOES NOT PROVIDE  land for Muslim cemeteries
- The government DOES NOT FUND  zakat",,
Malaysia ni makin lama makin ke belakang. Kenapa eh?,,,
Bapa suspek buat report polis kononnya nak jaga keselamatan anak.,Kamu nak jaga keselamatan anak tapi jangan lupa berapa juta hati umat islam di Malaysia hari ini terguris & menyala api kemarahan.,,Tidak cukup dengan ucapan Maaf!
Btul tu respect jaga seni Malaysia kita ada identiti dan muzik kita sendiri aku nak tanya ni suka matcha atau suka KOPI,,,
"Sekali kena ulti senyap terus member HAHAHA, ni mesti jenis tengok content yang suka gelakkan perkataan dalam bahasa melayu (Malaysia) padahal kita tak sebut pun macam mana yang digembar gembur kan dalam video diorang tu",,,
"I'm from malaysia. 
Yes we only have this chair. 
This chair is plastic. 
I love my hawra n rakyat",,,
"Semiskin miskin Malaysia, kami x makan mi letak ais ~ cetakkkk",,,
Dulu zaman belajar saya ada classmate student Degree dari Indonesia. Dia ckp pemerhatian dia : sekaya orang Malaysia tak boleh lawan kaya orang indonesia. Namun semiskin orang Malaysia tak lawan miskin orang indonesia. Sampai sekarang saya ingat kata² tu.. Jadi bersyukurlah kita 🤲🏻,,,
“Malaysia menghantar tiga ekor gajah ke Jepun sebagai usaha memantapkan program konservasi dan pembiakan. Proses ini termasuk persiapan rapi dan pemantauan supaya gajah dapat menyesuaikan diri dengan baik.“ -,Harimau di Zoo Jepun 🇯🇵 VS Zoo Malaysia 🇲🇾,,Buta ke?? jangan cakap xnampak apa jadi dngn harimau di sana. Next gajah pulak jadi kurus 🤦‍♂️
"kalau malaysia lockdown lagi, apa escape plan korang?","aku mula dulu
aku nak duduk kat kebun.",,
"Netflix Malaysia:
45% Hantu Indo
45% Polis tamil corrupt
10% cerita buangan pawagam",,,
tak kuat baca komen HAHAHAAH,ADA2 JE LAWAK RAKYAT MALAYSIA NI,,
"Kiri -di Malaysia
Kanan -di Philippines",Accident happens..but make it aesthetic,,
Jap nak tanya geng,"Jarang nampak orang India makan ayam gepuk, kalau Cina sllu nampak. Any Indian boleh confirmkan ? Hahaha just curious",1malaysia,"Tah sebab tak makan pedas ke, atau tak kene selera"
"Betullah tu, tak suka tak payah pergi kan Tiong. Oleh sebab itu, selepas ini, kami rakyat Malaysia beragama Islam, nak buat sambutan Maulidur Rasul di Bukit Bintang selama 3 hari 3 malam. Jemputan seluruh dunia bagi meraikan hari kebesaran Nabi Muhammad SAW. Nanti kalau tak suka jangan pergi ya Tiong.",,,
Seorang ibu marah anaknya membuli anak autisme. Kita perlukan ibu begini yang tak bekap anaknya bila melakukan kesalahan,Kredit : over_modern (YT),Malaysia Threads,
Dengar cerita sampai sekarang tak tahu mana monyet tu pergi😭,#xtra #viral #beritaterkini #malaysia #makcikbawang #trending #news,,Sumber: yopy30BG
"Aku perasankan dekat luar negara, tak kisah la dekat fon, ipad takpun pc mesti diorang pakai bahasa ibunda diorang. Tapi kat Malaysia kenapa kena pakai English ek? Kenapa tak pakai BM? Korang malu ke?",,,
"nak tanya knp kat malaysia jdi bahan lawak kalau pakai topi mcm ni🙂‍↔️, pdahal comel je….",,,
He claimed he acted out of concern for women’s safety.,,Malaysia Threads,
Dah menyorok belakang pun still boleh detect eh camera tu😂,#xtra #viral #beritaterkini #malaysia #makcikbawang,,📹: naslovata
aku tau malaysia ni main character dlm dunia tapi aku tak boleh buktikan,,,
"If you think RM4,000 is enough to live comfortably in Malaysia, you’re either still living with your parents or completely out of touch with reality. 🤗",,,
"Sekarang ramai konoha2 masuk malaysia jadi operator kilang. Okaylah kan nak cari rezeki. Tapi satu nak pesan dek, biar muka hodoh jangan adab ikut hodoh sekali. Ada satu minah konoha ni, dia nak buat megi cup tu. Padahal kat kantin bawah tu ada je tempat amek air panas yg disedia kan. Tetap dia nak naik amik kat coway staff punya kat tingkat atas,",,,
yes lingling show them our powerful malaysia passport!!,,,
Dah menyorok belakang pun still boleh detect eh camera tu😂,#xtra #viral #beritaterkini #malaysia #makcikbawang,,📹: naslovata
Satu satunya Family Mart di Malaysia yang warna signboard dia hitam putih.,Cuba teka kat mana?,,
Malaysia 🇲🇾 Ni ramai Lagi Hok Dok Leh Subsidi Natang,,,
guys i wonder!! tersangat wonder.,"bts blackpink or any other group kpop yang famous"" kan. dorng ni takde kena sihir santau ke. kalau kt malaysia tu habis dah taehyung kena minyak dagu. terfikir tak gaiss hm.",,
Mungkin Malaysia memang main character dalam dunia ni.,"Bayangkan lah, macam orang Mesir, kalau tahu kita dari Malaysia, memang auto keluar ayat keramatnya ""Malaysia Ahsan An-Nas"" (orang Malaysia sebaik-baik manusia).",,"So kepada rakyat Malaysia, mohon kita kekal teguh dengan identiti kita ni 💪🏼💪🏼💪🏼"
"Bye-bye, Malaysia.",,,
Myvi biru tidur dalam kelas ke?,,Malaysia Threads,
Pempengaruh Zhiddin Aziz berkongsi satu video seorang pendatang asing didakwa meminta sehingga RM15 untuk menjaga tempat parkir di Bukit Bintang.,Pempengaruh itu turut diugut secara halus bahawa keretanya mungkin akan dirosakkan jika kita tidak membayar parking itu.,,Kejadian ini mencetuskan kemarahan netizen yang mengecam tindakan meminta bayaran berlebihan dan ugutan di tempat awam.
DMA Islam 1 - Budak Teater 0,,Malaysia Threads,
"Kalau boleh delete satu makanan dekat Malaysia ni, aku akan delete ayam gepuk.",,,
"Kalau Malaysia ada SPM, Indonesia ada exam apa erk?🙏🙏 ( Bertanya dalam nada ingin tahu)",,SPM,
Bijakknya Malaysia🤭🙃,,,
"Me in London: speaking Malay on the phone
(My friends face looks confused)
“Was that… Japanese?
“No Malay”
“You’re from where??”
“Malaysia”
Guess what happpen next",,,
Pempengaruh Zhiddin Aziz berkongsi satu video seorang pendatang asing didakwa meminta sehingga RM15 untuk menjaga tempat parkir di Bukit Bintang.,Pempengaruh itu turut diugut secara halus bahawa keretanya mungkin akan dirosakkan jika kita tidak membayar parking itu.,,Kejadian ini mencetuskan kemarahan netizen yang mengecam tindakan meminta bayaran berlebihan dan ugutan di tempat awam.
"I’m in Malaysia.
We saw the video.
It was murder.",,,
"I always assumed that BAPA MALAYSIA was Tunku Abdul Rahman.
Never knew it was Ramasamy !",#HistoryDistorted,,
"Saja datang nak tengok suasana. Yang aku nampak 50% pendatang asing, 20% pelancong asing, 30% warga Malaysia. Terbaik Kementerian Pelancongan, Seni dan Budaya. Meriah! Tahun depan kalau nak buat lagi mungkin boleh collab dengan Jabatan Imigresen. Comfirm makin ramai support.",,,
"Rakyat Malaysia ada 34juta. Duit zakat seleweng, RM230 juta.","so kalau RM 230 juta bahagi  RM30 
= 7,666,667 orang boleh baiki calculator secara percuma",,
"They calling us overdressed?
How about y'all dressed up like this?. Balik Haji macam dress up fashion show gak, kalau cantik ok la, ini......😒",,Malaysia Threads,
"Sedih tengok DAK, dia nk rumput hijau weii bukan rumput kering 😭","if you guys care, sign petition ni korang pls",Gajah Malaysia,
one last chance …,,5sos Malaysia,
Tertengok one sharing from Indonesian yg stay kat Malaysia. Kenapa org Malaysia ni sedikit cerdik dari depa.,"Salah satu sebab org Malaysia pagi2 kat TV ada rancangan ilmiah Selamat Pagi Malaysia, MHI, WHI, masak-masak, news, rancangan pendidikan.",,"While kat sana pagi-pagi layan sinetron, hiburan, gameshow merapu etc."
Tak tahu langsung UCI World Cup buat kat Malaysia. Apa Menteri Belia Sukan buat ini? Tak ada marketing apa2 ke?,,,
"e.Mas ni buatan indonesia, sebab kalau buatan malaysia nama dia e.Bang",,,
Kerja apa kt Malaysia ni dia punye gaji Rm15Ribu sebulan?,,,
"Jika WW3 berlaku, negara manakah kebarangkali yang akan serang Malaysia? dan kenapa nak serang Malaysia?",,,
"Lelaki tak bercerita, tau2 menung dalam kereta😔",,Malaysia Threads,
TAHNIAH..... MALAYSIA DAH ADA SHOPPING MALL PALING RACIST!!,,,
"I pernah tanya one of Tan Sri dekat Malaysia,
sebenarnya kerja mana lagi bagus MNC, corporate ke SME.",Jawapan dia bagi buat I senyap terus dekat situ,,
"Me: *bukak sampul raya anak*
Also me: OTAK DIA BAGI RM3, IN THIS ECONOMY?? HOW??!!",Orang Malaysia ni kaya2 wei!! Aku mampu rm2/rm1 je la satu sampul,,
Tahu tak Kenapa Korean kalah cyberbully ngn orang Malaysia? Sbb kita ade ade cyberjaya🫂,,,
"GUYSSS I just found out that internship in China paid Intern 10,000 RMB ( RM 5,816.00 ) 😭 while in Malaysia only around RM1,200 in big multinationals cooperation!",,,
Duduk sebelah orang Indonesia kat masjid di Jepun:,"Saya: Nama apa?
Dia: Saya Ismail.
…
Dia: Tapi saya tidak jual ayam…",Malaysia Threads,😂😂😂
"Bila tengok balik opening Sea Games kat Malaysia ni, gempak juga sebenarnya. Pernah tengok laut dalam stadium?",,,
Bukan kat luar negara tapi kat Malaysia. Dia dah bawa dah perangai dia datang Malaysia.😅,,,
"Dua business ni pernah  MENCETUS FENOMENA dalam Malaysia lalu tetiba hilang, dan banyak tutup. Apa rasanya PUNCA UTAMA?","Sebagai business owner atau pelanggan yang pernah mencuba dua jenama ni, apa pengalaman?",,
Fuhh lepas tgk video ni terus rasa bersyukur jadi rakyat Malaysia..teruk betul yer kehidupan kat Philipine..kerajaan Spain takde bantu ke sikit²?,,,
Dear JPJ_Malaysia .,Please stop with this annoying push notification.,,
Mean while in Malaysia. May God protect us all,More,"""Women are emotional"" Never saw a woman throwing acid on someone's face out of emotions.",Like
Aku cadangkan kerja-kerja di Malaysia dibayar mengikut skills. Contoh,"1. Microsoft Office, Presentation, Excel : RM1700
2. Autocad, Photoshop, Illustrator, InDesign : RM2500
3. Power BI, Tableau, Phyton: RM4000
4. Aveva E3D, Smart Plant 3D, BIM:  RM5000
5. Microsoft visual studio, AWS, Azure: RM6000",Malaysia Threads,
"Momen indah apabila Zulfaqar Aslam diraikan selepas kejayaannya. Lebih menyentuh hati bila terdengar suara ibunya dengan bangga menyebut, ""Anak saya tu"". Tahniah Zulfaqar semoga terus berjaya di dunia dan akhirat. ❤️",#xtra #viral #beritaterkini #malaysia #makcikbawang #trending #news,,📹: zulhana.ana
"Bila captain cakap..""untuk warganegara Malaysia..selamat pulang ke tanahair"" ..auto sebak 🥹🥹",,,
Bangga betul ek muka kau bang🤣,#xtra #viral #beritaterkini #malaysia #makcikbawang,,📹: bangjalllll
"Momen indah apabila Zulfaqar Aslam diraikan selepas kejayaannya. Lebih menyentuh hati bila terdengar suara ibunya dengan bangga menyebut, ""Anak saya tu"". Tahniah Zulfaqar semoga terus berjaya di dunia dan akhirat. ❤️",#xtra #viral #beritaterkini #malaysia #makcikbawang #trending #news,,📹: zulhana.ana
Bangga betul ek muka kau bang🤣,#xtra #viral #beritaterkini #malaysia #makcikbawang,,📹: bangjalllll
tempat ikon negara jadi mcm ni…memalukan…,#klcc #kualalumpur #malaysia #bukitbintang,,
Ngobrol sama temen Malaysia.,"🇮🇩: Enak ya kalian ke Europe tak perlu visa.
🇲🇾: Ha? Apa tu?
🇮🇩: Visaaa… Tak tau kah?
🇲🇾: Tak.
🇮🇩: Orang Indonesia kalau nak ke Europe mesti apply visa, macam dokumen gitu.
🇲🇾: Iyakah? Kami pakai passport je.
🇮🇩: 🥲🥲🥲",CurhatWNI,#KesenjanganPaspor
"I went to the dentist 
because my toothache was unbearable 
since yesterday… 
but why is the bill so expensive?!","Once again, 
a Orang Korea amazed 
by Malaysia’s hospital fees.😱",Malaysia Threads,
Brader ni mesti penat kan sampai tertidur?🥹,#xtra #viral #beritaterkini #malaysia #makcikbawang,,Sumber: bossrul_channel
Mengapa orang Melayu di Malaysia memaksa orang Cina dan India berbahasa Melayu?,,,
"Indonesians yg ada kat malaysia ni.. xpayah la dok jual nasi lemak pagi2.
Tak sedap.",,,
Malaysian to Malaysian.,Apakah budaya Konoha yang dah start masuk ke Malaysia?,,Me : jual kat traffic light.
Biar la Indonesia buat tol kat Selat Melaka belah mereka.,Laluan perairan Selat Melaka belah Malaysia dan Singapore kan percuma. Makin maju la perlabuhan kita 😆,,HAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHA
Satu Malaysia tengok abang 😭😭😭😭,,,
"thanks to abang yang reply comment dekat siapa i don’t remember that said “orang malaysia susah saving, padahal rm3 sehari, setahun dah seribu”, i made up my mind to never touch duit ni so here i am now.",,,
Cuba teka kt mana? Bukan Bali tapi Malaysia je,,,
Saya tahu ada org Malaysia Cina yg takleh berbahasa Malaysia.,Tapi tak pernah dengar pulak org Malaysia India yg takleh berbahasa BM.,,Ada ke? Pernah jumpa tak? Macam takde je.
malaysia perlukan ni sekarang,,,
"Lagi dipanggil Malaydesh, Malingsia… lagi naik nilai mata wang kita. Teruskan Indonesia! Terima kasih atas usaha kalian membawa nama Malaysia ke serata buana.","Lagipun, ramai warga Indonesia yang bekerja di Malaysia akan berbahagia… kerana duit gaji mereka, bila dihantar pulang, jadi berkali ganda nilainya.",,"Warga Indonesia yang bekerja di Malaysia, silap-silap ada yang dah mampu buat rumah, bina keluarga di Malaysia."
Kenapa aku rasa macam kerajaan malaysia semakin tenat. Ke aku sorang aje yang perasan,,,
This is how we Malaysians lived currently. Still far from development. 🫤,,Malaysia Threads,
You know what this means.,Saya akan buat yang terbaik untuk wakili Malaysia sampai tiba di Tanah Jauh. Dah pun tandatangani Power of Attorney tadi.,,Sama-sama kita doakan video SOS semua peserta Sumud tak perlu disiarkan.
nampak komen konoha tulis “ternyata Brunei pake bahasa Indonesia” 😒,"NO, they don’t. Bahasa rasmi negara Brunei ialah Malay (Bahasa Melayu) ✅ not Indo ❌",Malaysia Threads,
Kenapa ek kalau artis Indonesia datang Malaysia. Host Malaysia akan cakap bahasa Indonesian but bila artist Malaysia pergi Indonesia tak ada pulak host dia nak cakap bahasa Malaysia,,,
Orang Malaysia dengan orang Indonesian makan satay.,"MY: Ish, daging ni... Liat!
INDO: Kenapa, sih?
MY: Liat.
INDO: Iya, kenapa?
MY: Liat!!",,
"Masa Berlalu sangat Pantas,  Detik2 Kenangan Apabila Perdana Menteri Malaysia, Datuk Seri Najib Razak Ketika itu Dapat Tahu Berita Pemergian Al-marhum Tuan Guru Hj Nik Abdul Aziz Bin Nik Mat",,Tuan Guru Hj Nik Aziz,
Mohon saudara,Sy yakin banyak lagi beat komedi yg lebih lucu kamu boleh buat.,,Sama sama kita bangkitkan kembali industri komedi Malaysia dan bangunkan komedi lebih membina 🙏
Ketum is classified as a Class A controlled drug in Singapore.,,Malaysia Threads,
Kenapa Hutan Amazon sering dianggap tertua sedangkan “hutan dinosaur” sebenarnya ada di Malaysia?,,,
Rakyat Malaysia punya knowledge tentang dunia ni agak menyedihkan. Semua benda konflik dunia nak tengok dari kaca mata agama instead of politics.,,,
This is how my son gonna introduce himself in the future because he is a mix of Sabahan and Sarawakian. I hope gen Alpha and Beta is not as ignorant as this current generation.,"“Sejak bila Borneo tu Malaysia”
“Warga asing lah kan”",,"Tolong la jangan tayang sangat bodoh, simpan sikit aib tu."
"Inilah Ayah Mekyun, Brigedier Jeneral Dato’ Wee Han Siew. Mantan Panglima Briged Artileri Roket Malaysia.
Seorang Ayah, Pemimpin & Wira.","Dari kecil, Pok ajar kami tentang disiplin, hormat & keberanian. Nilai-nilai yang kekal sampai hari ni. Leadership and courage — Pok led by example and we followed.",,Dan di sebelah Pok ada Mok. Tulang belakang kami semua.
pergi bazaar jangan bawak Stroller boleh tak. dah la sesak pastu bila orang terlanggar buat muka palat.,,Malaysia Threads,
Orang Malaysia ni patut pi belajar apa orang Vietnam buat sampai jadi top 10 kes diabetes paling rendah di dunia.,,,
"""Comel isteri abg hari ini""
🥺🥺
2 jam selepas tu suaminya meninggal. Untung akak ni sempat peluk dan bermesra kali terakhir. 
Semoga roh arwah ditempatkan dikalangan orang” yang beriman. Aminnnn",,Malaysia Threads,
Tekejut tengok 1 vid tiktok ;,Pelancong mat saleh tu tanya.. blh suggest makanan traditional yg wajib di cuba kat Malaysia ni.,,Prmpuan tu jawab “ AYAM GEPUK ! “
"Pagi ni dapat berita, ada orang Malaysia meninggal dunia di Kunming, Yunnan. Orang Malaysia yang nak pergi sana, tolong avoid route dari Kunming terus ke Lijiang / Shangri La. Why?",,,
Hello Tourism Malaysia. Team u memang tak buat kerja ke? Sampai bila nak kena betulkan if dari Tourism sendiri yang lalok? Burung Toucan BUKAN burung Enggang. Spesis Amazon tak ada di Malaysia! Paham?,,tourismmalaysia,
Semua bini-bini seMalaysia macam ni ke 💆🏼‍♀️,,,
Can we normalise mempopularkan golongan researcher dekat malaysia ni.,,,
"Bersyukur? Yes. 
First, lahir as Islam. 
Second, lahir kat Malaysia.",,,
"Kenapa jarang nampak orang India dan Cina dalam thread ya? Mereka lebih aktif guna aplikasi sosial apa sebenarnya? Atau memang mereka ada je dalam thread, cuma saya yang tak perasan?","Rasa macam nak tahu juga apa yang mereka selalu borakkan. Kalau guna bahasa mereka memang susah nak faham, tapi kalau English tu masih boleh ikut sikit.",Malaysia Threads,
"Punyalah beradab orang Malaysia ni, bagi barang tangan kiri pun mintak maap","""sorry tangan kiri""",,
"Singapore is Singapore laa...This is Malaysia. The azan is part of our culture here. If that bothers you, then this may not be the right place for you.",,Malaysia Threads,
"Tadi ada perasan satu post, orang Indo rasa hairan kenapa restoran Uncle Roger tutup, siap perli kita ni tak mampu beli nasi goreng tu.","Eh nasi goreng bodo jual sampai RM15-20 siapa je nak beli, baik masak kat rumah. Itu namanya bijak!",,Betullah ada orang cakap :
10 Syarikat GLC Popular Pilihan Fresh Graduate :,"1. PETRONAS -Elite GLC, exposure global
2. Malayan Banking Berhad -Career growth laju
3. Khazanah Nasional -Sesuai utk business, finance
4. Telekom Malaysia(TM) -Banyak peluang IT
5. CIMB Group -Program TCB terkenal
6. Prasarana Malaysia -Engineering & operations
7. Axiata Group Berhad -Exposure ASEAN
8. Malaysia Airports Berhad -Operations & management
9. UEM Group -Projek highway & infra besar
10. Pengurusan Air Selangor -Stable utility sector",,
Warga malaysia tolong jp ni nom plate malaysia ke sebab baru tengok bahahah,,KualaLumpur,
lokasi: Rotiboy Pasar Seni,Takde apa la ni sikit saja. Minta maaf nanti settle laaa. Kita kan satu MALAYSIA 🇲🇾,,
